month,product,region,channel,units,avg_price_eur,revenue_eur,ad_spend_eur,returns_pct
2024-03,P03,North,Retail,471,20.33,9576.72,2813.95,2.96
2024-03,P03,South,Online,459,19.46,8932.68,5486.06,3.17
2024-03,P03,South,Retail,446,19.21,8568.87,4726.37,4.6
2024-03,P04,North,Online,466,25.56,11910.85,4049.05,4.21
2024-03,P04,North,Retail,445,25.34,11278.46,4477.92,5.1
2024-03,P04,South,Online,444,25.83,11469.84,6611.46,2.78
2024-03,P04,South,Retail,377,25.51,9616.41,3344.93,5.1
2024-03,P05,North,Online,693,16.08,11141.86,4642.05,3.2
2024-03,P05,North,Retail,612,15.81,9678.57,3122.87,3.18
2024-03,P05,South,Online,578,16.58,9584.38,6817.75,2.74
2024-03,P05,South,Retail,558,15.76,8796.59,2784.31,4.29
2024-03,P06,North,Online,566,19.6,11092.95,3927.45,2.42
2024-03,P06,North,Retail,509,20.19,10276.16,4757.94,4.13
2024-03,P06,South,Online,507,20.5,10391.83,4242.98,2.08
2024-03,P06,South,Retail,426,20.29,8643.02,3879.88,2.85
2024-03,P07,North,Online,420,28.39,11925.63,5499.15,2.79
2024-03,P07,North,Retail,351,28.52,10009.5,4499.15,4.49
2024-03,P07,South,Online,359,28.52,10237.71,4401.78,3.86
2024-03,P07,South,Retail,307,27.56,8459.72,4784.07,3.87
2024-03,P08,North,Online,499,23.3,11625.65,5582.95,2.63
2024-03,P08,North,Retail,423,23.46,9923.65,3293.01,3.3
2024-03,P08,South,Online,471,23.05,10855.32,5303.32,2.95
2024-03,P08,South,Retail,388,23.46,9102.07,4091.94,4.55
2024-04,P01,North,Online,609,18.88,11496.48,4968.48,2.45
2024-04,P01,North,Retail,552,18.5,10212.6,4838.21,4.09
2024-04,P01,South,Online,531,18.25,9690.77,5222.35,3.47
2024-04,P01,South,Retail,449,18.43,8275.2,3870.64,4.41
2024-04,P02,North,Online,547,21.8,11926.92,6418.01,2.48
2024-04,P02,North,Retail,469,22.51,10558.84,4819.38,4.34
2024-04,P02,South,Online,461,22.09,10184.33,4600.09,3.24
2024-04,P02,South,Retail,469,21.71,10182.56,4752.96,3.15
2024-04,P03,North,Online,579,19.99,11571.99,5421.7,1.99
2024-04,P03,North,Retail,558,20.29,11323.64,4096.13,4.5
2024-04,P03,South,Online,540,19.26,10402.48,6777.7,3.45
2024-04,P03,South,Retail,439,19.75,8670.62,3285.82,4.52
2024-04,P04,North,Online,478,25.31,12096.97,5787.88,4.23
2024-04,P04,North,Retail,421,25.12,10573.62,4476.27,4.27
2024-04,P04,South,Online,427,25.08,10707.95,4576.24,3.63
2024-04,P04,South,Retail,411,24.89,10228.5,4721.81,3.97
2024-04,P05,North,Online,708,16.09,11391.54,5187.78,2.25
2024-04,P05,North,Retail,599,16.55,9914.49,3444.46,4.06
2024-04,P05,South,Online,621,16.22,10072.11,5182.41,2.75
2024-04,P05,South,Retail,546,16.67,9102.87,3493.49,4.21
2024-04,P06,North,Online,537,20.01,10742.75,6482.42,2.46
2024-04,P06,North,Retail,504,19.49,9822.47,2892.04,3.22
2024-04,P06,South,Online,512,20.24,10361.99,6392.14,1.94
2024-04,P06,South,Retail,413,19.52,8060.53,3054.2,2.98
2024-04,P07,North,Online,438,27.5,12046.38,6895.65,3.06
2024-04,P07,North,Retail,379,27.78,10528.29,4775.5,4.44
2024-04,P07,South,Online,359,28.38,10187.87,4749.3,3.53
2024-04,P07,South,Retail,305,28.17,8593.11,4472.64,5.38
2024-04,P08,North,Online,513,23.68,12149.64,4365.13,2.41
2024-04,P08,North,Retail,472,23.47,11077.82,4783.57,4.42
2024-04,P08,South,Online,472,22.98,10845.14,3949.64,2.48
2024-04,P08,South,Retail,408,22.85,9323.03,3755.07,3.37
2024-05,P01,North,Online,651,18.96,12344.82,5013.2,2.85
2024-05,P01,North,Retail,589,18.36,10815.25,4716.07,3.01
2024-05,P01,South,Online,515,17.96,9247.24,5794.27,3.57
2024-05,P01,South,Retail,488,18.63,9092.02,4793.64,4.0
2024-05,P02,North,Online,563,22.11,12447.59,6790.8,2.21
2024-05,P02,North,Retail,510,21.64,11037.7,3223.58,2.85
2024-05,P02,South,Online,507,21.71,11004.81,5049.43,3.35
2024-05,P02,South,Retail,457,22.52,10290.76,4217.41,2.93
2024-05,P03,North,Online,625,20.28,12677.23,4457.75,1.94
2024-05,P03,North,Retail,498,19.37,9644.6,4372.34,3.0
2024-05,P03,South,Online,503,20.29,10204.92,4817.27,2.59
2024-05,P03,South,Retail,448,19.21,8607.68,2967.51,2.85
2024-05,P04,North,Online,503,25.12,12634.07,5244.93,3.28
2024-05,P04,North,Retail,466,25.34,11806.43,2923.28,3.89
2024-05,P04,South,Online,417,25.18,10500.88,5451.87,2.82
2024-05,P04,South,Retail,386,26.2,10112.11,4386.38,4.33
2024-05,P05,North,Online,732,16.43,12024.58,4384.21,3.39
2024-05,P05,North,Retail,675,16.55,11171.04,2984.07,3.35
2024-05,P05,South,Online,632,15.95,10082.07,5317.98,3.37
2024-05,P05,South,Retail,599,16.15,9674.64,4210.26,3.73
2024-05,P06,North,Online,564,20.28,11435.33,4506.07,3.53
2024-05,P06,North,Retail,491,19.48,9565.14,3028.54,3.58
2024-05,P06,South,Online,489,19.97,9766.58,6373.13,2.73
2024-05,P06,South,Retail,441,19.42,8563.19,4509.44,3.71
2024-05,P07,North,Online,406,28.46,11553.69,5008.37,3.83
2024-05,P07,North,Retail,383,28.5,10915.65,2881.3,5.24
2024-05,P07,South,Online,381,27.23,10375.64,3900.58,3.83
2024-05,P07,South,Retail,358,28.22,10103.32,3991.7,3.73
2024-05,P08,North,Online,513,23.97,12295.61,5991.64,1.86
2024-05,P08,North,Retail,496,23.01,11415.16,3400.13,3.96
2024-05,P08,South,Online,482,24.03,11582.09,6075.34,2.54
2024-05,P08,South,Retail,403,23.34,9407.82,3007.76,2.9
2024-06,P01,North,Online,579,18.01,10427.24,6110.67,3.48
2024-06,P01,North,Retail,544,18.32,9968.42,4441.49,4.29
2024-06,P01,South,Online,521,18.44,9609.02,5832.01,3.34
2024-06,P01,South,Retail,525,18.57,9750.92,2701.49,3.13
2024-06,P02,North,Online,536,21.88,11728.32,6396.6,2.83
2024-06,P02,North,Retail,551,22.26,12265.2,3233.94,3.09
2024-06,P02,South,Online,460,22.09,10163.41,4376.11,2.14
2024-06,P02,South,Retail,477,22.5,10732.75,3872.84,3.01
2024-06,P03,North,Online,592,19.66,11639.61,4936.58,2.55
2024-06,P03,North,Retail,570,19.57,11154.3,3693.57,3.42
2024-06,P03,South,Online,494,19.95,9857.71,5117.56,2.52
2024-06,P03,South,Retail,505,19.48,9837.12,4678.89,3.24
2024-06,P04,North,Online,520,24.75,12870.32,6340.68,3.73
2024-06,P04,North,Retail,487,25.88,12602.43,3553.01,5.26
2024-06,P04,South,Online,478,25.17,12031.51,6081.77,3.21
2024-06,P04,South,Retail,427,24.97,10662.6,2827.87,4.59
2024-06,P05,North,Online,764,16.09,12293.62,5488.69,2.06
2024-06,P05,North,Retail,613,16.01,9812.31,3527.46,3.93
2024-06,P05,South,Online,677,16.24,10991.21,4078.29,2.34
2024-06,P05,South,Retail,545,16.03,8734.69,4500.98,4.49
2024-06,P06,North,Online,615,19.5,11990.73,4648.59,2.76
2024-06,P06,North,Retail,519,19.79,10272.65,4121.52,3.79
2024-06,P06,South,Online,491,19.89,9767.43,5740.75,3.6
2024-06,P06,South,Retail,492,19.64,9663.83,3396.46,3.63
2024-06,P07,North,Online,436,28.37,12367.43,5516.69,4.03
2024-06,P07,North,Retail,411,28.65,11774.5,4212.36,4.19
2024-06,P07,South,Online,377,27.6,10403.63,6481.21,2.91
2024-06,P07,South,Retail,349,27.28,9520.31,4351.21,4.66
2024-06,P08,North,Online,528,23.6,12460.98,4038.99,2.97
2024-06,P08,North,Retail,455,23.61,10741.27,3040.96,4.27
2024-06,P08,South,Online,464,23.61,10954.34,6385.43,3.09
2024-06,P08,South,Retail,432,24.03,10380.72,4586.09,3.37
2024-07,P01,North,Online,579,18.76,10859.17,4584.07,3.39
2024-07,P01,North,Retail,565,18.1,10225.98,3717.75,3.71
2024-07,P01,South,Online,518,18.15,9403.63,5256.7,2.92
2024-07,P01,South,Retail,489,18.77,9178.27,4151.68,3.62
2024-07,P02,North,Online,566,22.5,12737.26,6560.11,2.54
2024-07,P02,North,Retail,483,21.45,10360.18,4212.3,4.48
2024-07,P02,South,Online,448,22.16,9926.05,5057.01,3.48
2024-07,P02,South,Retail,477,22.57,10767.97,4361.06,3.62
2024-07,P03,North,Online,541,19.53,10565.34,4629.8,2.94
2024-07,P03,North,Retail,493,20.18,9947.35,4667.53,4.18
2024-07,P03,South,Online,481,19.27,9268.52,6055.87,3.13
2024-07,P03,South,Retail,455,19.62,8925.49,4085.44,2.86
2024-07,P04,North,Online,530,26.23,13899.52,6999.51,4.07
2024-07,P04,North,Retail,478,25.04,11968.4,3691.12,4.81
2024-07,P04,South,Online,424,26.07,11053.12,4640.12,3.36
2024-07,P04,South,Retail,403,25.18,10149.33,4630.43,4.07
2024-07,P05,North,Online,708,16.53,11702.6,3910.53,2.2
2024-07,P05,North,Retail,692,16.1,11138.69,3735.17,4.49
2024-07,P05,South,Online,618,16.33,10092.91,6478.96,1.92
2024-07,P05,South,Retail,583,15.94,9291.81,3815.49,2.89
2024-07,P06,North,Online,542,19.69,10669.44,3991.73,3.25
2024-07,P06,North,Retail,530,19.78,10481.13,3691.69,3.34
2024-07,P06,South,Online,525,19.62,10298.83,5626.87,2.58
2024-07,P06,South,Retail,494,19.72,9743.3,4091.23,3.51
2024-07,P07,North,Online,394,28.19,11105.86,5676.22,4.35
2024-07,P07,North,Retail,377,27.36,10313.83,3290.59,4.53
2024-07,P07,South,Online,368,27.52,10126.88,6931.32,3.16
2024-07,P07,South,Retail,350,27.92,9772.62,4053.04,4.48
2024-07,P08,North,Online,497,24.14,11995.72,6425.19,2.64
2024-07,P08,North,Retail,500,23.16,11578.31,3416.36,3.06
2024-07,P08,South,Online,469,22.94,10757.43,4705.34,2.61
2024-07,P08,South,Retail,419,22.99,9632.8,3208.81,4.19
2024-08,P01,North,Online,560,18.34,10269.54,6782.61,2.88
2024-08,P01,North,Retail,486,18.69,9085.29,4295.85,4.27
2024-08,P01,South,Online,496,18.86,9353.7,6372.67,2.78
2024-08,P01,South,Retail,436,18.6,8110.88,3103.33,3.79
2024-08,P02,North,Online,550,21.62,11891.68,6402.77,3.72
2024-08,P02,North,Retail,264,21.64,5712.18,4380.64,5.69
2024-08,P02,South,Online,446,22.01,9818.63,5301.12,3.54
2024-08,P02,South,Retail,235,22.39,5261.58,3284.03,4.74
2024-08,P03,North,Online,550,19.68,10825.71,4402.13,2.58
2024-08,P03,North,Retail,526,19.45,10228.73,3218.13,2.87
2024-08,P03,South,Online,505,19.49,9842.27,6084.35,2.11
2024-08,P03,South,Retail,471,19.51,9188.14,3953.95,3.77
2024-08,P04,North,Online,490,25.45,12470.33,4724.86,3.28
2024-08,P04,North,Retail,434,25.04,10868.56,4117.26,4.35
2024-08,P04,South,Online,436,25.52,11126.08,6884.26,3.79
2024-08,P04,South,Retail,368,26.1,9606.3,3007.52,3.94
2024-08,P05,North,Online,715,16.38,11712.36,6963.59,2.47
2024-08,P05,North,Retail,587,16.43,9646.9,2898.89,3.56
2024-08,P05,South,Online,561,16.51,9264.74,6405.0,3.35
2024-08,P05,South,Retail,509,15.93,8108.7,4259.95,2.92
2024-08,P06,North,Online,567,19.99,11334.23,4060.06,3.17
2024-08,P06,North,Retail,487,20.47,9970.66,3310.73,4.6
2024-08,P06,South,Online,497,20.07,9973.49,4217.48,1.81
2024-08,P06,South,Retail,422,19.82,8364.33,4031.75,4.54
2024-08,P07,North,Online,370,28.3,10472.49,6217.16,2.62
2024-08,P07,North,Retail,369,28.22,10413.1,4614.18,3.63
2024-08,P07,South,Online,344,27.8,9563.65,4161.41,4.07
2024-08,P07,South,Retail,308,27.36,8427.37,3313.38,4.51
2024-08,P08,North,Online,486,23.91,11620.3,6879.67,2.1
2024-08,P08,North,Retail,460,22.97,10567.3,4613.55,4.21
2024-08,P08,South,Online,414,22.96,9505.67,6669.27,2.25
2024-08,P08,South,Retail,426,24.01,10227.6,3812.29,3.38
2024-09,P01,North,Online,600,18.58,11149.79,4016.25,2.23
2024-09,P01,North,Retail,585,18.11,10591.58,4003.69,3.37
2024-09,P01,South,Online,494,18.09,8935.44,6545.55,2.11
2024-09,P01,South,Retail,446,18.05,8048.58,4362.55,3.93
2024-09,P02,North,Online,576,21.91,12621.14,6292.51,3.45
2024-09,P02,North,Retail,493,21.83,10760.94,3025.89,3.78
2024-09,P02,South,Online,449,22.64,10164.48,4502.98,2.34
2024-09,P02,South,Retail,465,21.74,10108.87,3779.36,3.46
2024-09,P03,North,Online,540,19.23,10386.24,5657.04,2.94
2024-09,P03,North,Retail,491,19.55,9597.34,3501.1,4.05
2024-09,P03,South,Online,507,19.47,9870.41,6269.97,3.31
2024-09,P03,South,Retail,475,19.39,9209.31,3148.62,4.48
2024-09,P04,North,Online,496,25.4,12598.04,6312.92,3.63
2024-09,P04,North,Retail,454,25.8,11713.02,4128.01,3.76
2024-09,P04,South,Online,446,25.41,11330.93,5201.57,4.35
2024-09,P04,South,Retail,379,26.1,9891.86,3853.41,4.36
2024-09,P05,North,Online,716,16.55,11846.96,5604.1,2.18
2024-09,P05,North,Retail,648,16.07,10413.48,4587.41,3.4
2024-09,P05,South,Online,658,16.24,10688.77,6963.16,2.42
2024-09,P05,South,Retail,515,15.76,8117.2,4803.58,3.68
2024-09,P06,North,Online,529,19.62,10381.62,5731.41,1.96
2024-09,P06,North,Retail,493,19.55,9637.73,3239.57,3.03
2024-09,P06,South,Online,468,20.33,9513.55,5058.74,2.53
2024-09,P06,South,Retail,462,20.35,9399.77,2952.34,3.45
2024-09,P07,North,Online,419,28.43,11910.79,3919.14,4.2
2024-09,P07,North,Retail,383,27.74,10623.03,4240.41,4.04
2024-09,P07,South,Online,374,28.1,10509.89,4102.41,3.12
2024-09,P07,South,Retail,314,28.43,8927.99,2969.24,3.99
2024-09,P08,North,Online,507,23.27,11797.13,4062.56,3.05
2024-09,P08,North,Retail,473,24.17,11433.01,3900.96,4.32
2024-09,P08,South,Online,433,23.39,10126.27,4299.83,1.93
2024-09,P08,South,Retail,433,23.21,10048.77,4337.59,4.43
2024-10,P01,North,Online,599,18.63,11162.28,5623.75,3.01
2024-10,P01,North,Retail,615,18.96,11659.87,4249.91,3.54
2024-10,P01,South,Online,503,18.41,9259.44,5247.3,2.12
2024-10,P01,South,Retail,517,17.97,9290.08,2959.56,3.03
2024-10,P02,North,Online,586,21.91,12837.1,5972.82,3.25
2024-10,P02,North,Retail,499,22.02,10987.01,3214.35,2.99
2024-10,P02,South,Online,540,22.41,12101.98,6049.92,3.39
2024-10,P02,South,Retail,449,22.53,10116.81,2857.57,4.31
2024-10,P03,North,Online,684,19.52,13353.06,5752.63,2.28
2024-10,P03,North,Retail,616,19.55,12042.38,2844.1,4.59
2024-10,P03,South,Online,549,19.83,10887.03,3921.3,1.88
2024-10,P03,South,Retail,498,20.04,9978.5,4132.49,4.05
2024-10,P04,North,Online,542,25.32,13721.58,6015.88,4.32
2024-10,P04,North,Retail,453,26.25,11893.09,3742.84,4.1
2024-10,P04,South,Online,464,25.96,12043.66,5275.13,3.17
2024-10,P04,South,Retail,412,25.64,10563.98,2776.18,4.91
2024-10,P05,North,Online,768,16.47,12646.09,4714.27,3.35
2024-10,P05,North,Retail,689,16.25,11198.04,4332.98,4.34
2024-10,P05,South,Online,653,16.48,10764.01,4605.0,3.19
2024-10,P05,South,Retail,561,16.62,9324.18,2979.97,4.19
2024-10,P06,North,Online,673,20.37,13711.02,4382.62,3.35
2024-10,P06,North,Retail,616,19.66,12112.54,3823.17,2.84
2024-10,P06,South,Online,484,20.24,9796.16,4417.09,3.06
2024-10,P06,South,Retail,505,19.58,9885.65,3657.56,3.15
2024-10,P07,North,Online,436,27.37,11931.26,5807.59,4.23
2024-10,P07,North,Retail,402,27.79,11170.3,4043.18,4.69
2024-10,P07,South,Online,369,28.22,10414.68,7421.59,3.68
2024-10,P07,South,Retail,325,27.7,9002.61,6905.18,5.37
2024-10,P08,North,Online,580,22.88,13273.24,6842.76,1.93
2024-10,P08,North,Retail,522,23.08,12049.08,3159.36,3.21
2024-10,P08,South,Online,492,23.54,11581.13,4712.44,3.35
2024-10,P08,South,Retail,400,23.99,9595.29,2864.25,3.0
2024-11,P01,North,Online,732,17.08,12505.89,12874.28,2.27
2024-11,P01,North,Retail,588,17.87,10504.88,4297.85,2.88
2024-11,P01,South,Online,632,16.99,10736.19,9249.22,3.6
2024-11,P01,South,Retail,513,17.04,8741.77,3635.28,3.78
2024-11,P02,North,Online,622,21.87,13601.39,6615.32,2.82
2024-11,P02,North,Retail,608,21.77,13235.35,4105.49,3.47
2024-11,P02,South,Online,600,21.89,13134.58,6625.64,3.59
2024-11,P02,South,Retail,533,22.54,12013.7,3078.38,3.82
2024-11,P03,North,Online,763,20.21,15417.98,6058.8,3.03
2024-11,P03,North,Retail,692,19.4,13422.03,3949.39,4.33
2024-11,P03,South,Online,600,19.41,11644.83,5550.87,2.93
2024-11,P03,South,Retail,556,19.24,10696.78,3214.85,3.02
2024-11,P04,North,Online,564,26.07,14701.87,4558.74,2.61
2024-11,P04,North,Retail,486,25.32,12303.49,3900.83,4.14
2024-11,P04,South,Online,497,25.26,12553.22,4412.12,3.07
2024-11,P04,South,Retail,438,26.22,11485.31,4021.24,4.05
2024-11,P05,North,Online,803,15.64,12558.17,14666.98,1.91
2024-11,P05,North,Retail,690,15.42,10637.93,2716.04,3.22
2024-11,P05,South,Online,748,14.8,11068.99,9995.92,2.77
2024-11,P05,South,Retail,611,15.6,9534.16,3564.73,3.45
2024-11,P06,North,Online,751,20.43,15340.35,4808.98,2.21
2024-11,P06,North,Retail,682,19.91,13580.62,2974.68,3.76
2024-11,P06,South,Online,613,19.91,12207.72,5325.65,3.16
2024-11,P06,South,Retail,495,20.01,9905.54,3829.15,4.34
2024-11,P07,North,Online,474,27.2,12894.26,5557.08,3.86
2024-11,P07,North,Retail,426,27.78,11834.8,3548.02,4.35
2024-11,P07,South,Online,405,27.93,11313.12,4947.58,2.68
2024-11,P07,South,Retail,377,28.65,10799.7,3187.64,4.37
2024-11,P08,North,Online,649,23.93,15531.36,5634.39,3.08
2024-11,P08,North,Retail,564,23.06,13007.9,4038.03,3.04
2024-11,P08,South,Online,492,23.66,11641.77,4073.72,2.9
2024-11,P08,South,Retail,505,23.42,11825.87,2780.54,3.77
2024-12,P01,North,Online,755,16.95,12798.64,4129.39,2.18
2024-12,P01,North,Retail,655,17.42,11413.16,3704.75,4.48
2024-12,P01,South,Online,639,17.32,11065.39,4009.12,3.26
2024-12,P01,South,Retail,601,17.77,10679.35,4141.83,4.2
2024-12,P02,North,Online,664,22.36,14847.54,4312.64,3.19
2024-12,P02,North,Retail,601,21.35,12832.45,4702.45,4.11
2024-12,P02,South,Online,591,21.4,12650.15,4767.87,2.44
2024-12,P02,South,Retail,496,21.76,10792.27,4067.62,3.06
2024-12,P03,North,Online,791,19.96,15791.96,6680.14,2.74
2024-12,P03,North,Retail,720,20.04,14431.79,4811.63,2.96
2024-12,P03,South,Online,581,19.22,11165.18,5839.46,3.44
2024-12,P03,South,Retail,595,20.01,11908.1,3303.4,4.01
2024-12,P04,North,Online,645,25.08,16175.84,6001.08,4.38
2024-12,P04,North,Retail,505,26.15,13203.75,3394.79,3.78
2024-12,P04,South,Online,546,25.16,13736.38,5382.91,3.9
2024-12,P04,South,Retail,487,24.97,12158.25,4086.51,4.87
2024-12,P05,North,Online,802,15.65,12550.43,6519.82,3.51
2024-12,P05,North,Retail,823,15.63,12862.34,3388.76,3.01
2024-12,P05,South,Online,794,15.52,12325.8,6221.38,2.04
2024-12,P05,South,Retail,675,15.11,10199.59,3581.09,3.49
2024-12,P06,North,Online,773,19.77,15280.18,4200.8,2.56
2024-12,P06,North,Retail,710,19.51,13850.22,3950.21,3.42
2024-12,P06,South,Online,639,19.53,12482.44,6614.73,3.02
2024-12,P06,South,Retail,584,19.71,11511.79,2893.09,3.89
2024-12,P07,North,Online,500,27.52,13759.75,5368.23,3.25
2024-12,P07,North,Retail,461,27.87,12847.84,3309.94,4.66
2024-12,P07,South,Online,446,28.8,12844.3,5574.38,3.56
2024-12,P07,South,Retail,402,28.08,11288.03,3880.34,4.34
2024-12,P08,North,Online,631,23.14,14602.56,4667.53,2.99
2024-12,P08,North,Retail,605,23.9,14461.83,4614.49,3.18
2024-12,P08,South,Online,518,23.6,12224.28,4004.89,2.02
2024-12,P08,South,Retail,535,23.29,12462.63,2916.38,2.91
