label,month,product,ad_spend_eur,revenue_eur,units
2024-11 | P02,2024-11,P02,6615.32,13601.39,622
2024-11 | P03,2024-11,P03,6058.8,15417.98,763
2024-11 | P04,2024-11,P04,4558.74,14701.87,564
2024-11 | P05,2024-11,P05,14666.98,12558.17,803
2024-11 | P06,2024-11,P06,4808.98,15340.35,751
2024-11 | P07,2024-11,P07,5557.08,12894.26,474
2024-11 | P08,2024-11,P08,5634.39,15531.36,649
2024-12 | P01,2024-12,P01,4129.39,12798.64,755
2024-12 | P02,2024-12,P02,4312.64,14847.54,664
2024-12 | P03,2024-12,P03,6680.14,15791.96,791
2024-12 | P04,2024-12,P04,6001.08,16175.84,645
2024-12 | P05,2024-12,P05,6519.82,12550.43,802
2024-12 | P06,2024-12,P06,4200.8,15280.18,773
2024-12 | P07,2024-12,P07,5368.23,13759.75,500
2024-12 | P08,2024-12,P08,4667.53,14602.56,631
