author;category;Nombre de titolo
Agustin d'Empaire;gear;1
Agustin d'Empaire;security;1
Total Agustin d'Empaire;;4
Ahalya Srikant;culture;1
Ahalya Srikant;photo;1
Total Ahalya Srikant;;2
ahemphill;business;1
Total ahemphill;;1
Ahmir Questlove Thompson;culture;1
Total Ahmir Questlove Thompson;;1
Aidan Mac Guill;gear;1
Total Aidan Mac Guill;;1
Aidan Marchine;culture;1
Total Aidan Marchine;;1
Aidan Moher;culture;1
Aidan Moher;gear;1
Total Aidan Moher;;2
Aigner Loren Wilson;culture;1
Total Aigner Loren Wilson;;1
Ailbhe Malone;culture;1
Total Ailbhe Malone;;1
Aimee Christian;gear;1
Total Aimee Christian;;1
Aimee Cliff;culture;1
Total Aimee Cliff;;1
Aisha Tyler;culture;1
Total Aisha Tyler;;1
AJ Dellinger;culture;1
Total AJ Dellinger;;1
Ajay Royyuru, Computational Biology Center, IBM Research;science;2
Total Ajay Royyuru, Computational Biology Center, IBM Research;;2
"aka ""Moulton"" on MicroMuse";(vide);1
"Total aka ""Moulton"" on MicroMuse";;1
Akanksha Singh;business;2
Total Akanksha Singh;;2
Akash Kapur;(vide);2
Total Akash Kapur;;2
Akram Hussein;business;1
Total Akram Hussein;;1
Al Gore;science;1
Total Al Gore;;1
Alaa Murabit;business;1
Total Alaa Murabit;;1
Alain De Botton;culture;1
Total Alain De Botton;;1
Alain Dujardin;the big story;1
Total Alain Dujardin;;1
Alan Boyle;science;1
Total Alan Boyle;;1
Alan Collins;science;1
Total Alan Collins;;1
Alan Deutschman;(vide);3
Total Alan Deutschman;;3
Alan Devenish;culture;2
Alan Devenish;gear;1
Alan Devenish;photo;11
Total Alan Devenish;;14
Alan Docherty;culture;6
Alan Docherty;security;14
Total Alan Docherty;;20
Alan E. Rapp;(vide);3
Total Alan E. Rapp;;3
Alan Henry;business;3
Alan Henry;culture;4
Alan Henry;gear;5
Alan Henry;ideas;1
Alan Henry;science;1
Alan Henry;security;1
Total Alan Henry;;15
Alan Kay;(vide);1
Total Alan Kay;;1
Alan Kistler;culture;4
Total Alan Kistler;;4
Alan Levinovitz;business;2
Alan Levinovitz;the big story;1
Total Alan Levinovitz;;3
Alan Martin;business;2
Alan Martin;culture;1
Alan Martin;science;3
Total Alan Martin;;6
Alan Rapp;design;1
Alan Rapp;(vide);2
Total Alan Rapp;;3
Alan S. Kay;(vide);1
Total Alan S. Kay;;1
Alana Hope Levinson;the big story;1
Total Alana Hope Levinson;;1
Alana Yzola;culture;1
Total Alana Yzola;;1
Alanna Nash;(vide);3
Total Alanna Nash;;3
Albert Fox Cahn;ideas;13
Total Albert Fox Cahn;;13
Albert Kim;culture;1
Total Albert Kim;;1
Albert S. Cho;(vide);1
Total Albert S. Cho;;1
Alberto Gaitán;(vide);2
Total Alberto Gaitán;;2
Alden Wicker;culture;1
Alden Wicker;gear;8
Alden Wicker;the big story;2
Total Alden Wicker;;11
Alec Luhn;science;3
Total Alec Luhn;;3
Alec Matias;culture;8
Total Alec Matias;;8
Alec Ross;security;2
Alec Ross;the big story;1
Total Alec Ross;;3
Alejandra Caraballo;ideas;2
Total Alejandra Caraballo;;2
Alessandra Ram;business;1
Alessandra Ram;culture;5
Alessandra Ram;design;1
Alessandra Ram;gear;1
Alessandra Ram;opinion;1
Alessandra Ram;security;1
Total Alessandra Ram;;10
Alessio Perrone;science;2
Total Alessio Perrone;;2
Alex B Berezow;science;1
Total Alex B Berezow;;1
Alex Baca;science;1
Total Alex Baca;;1
Alex Baker-Whitcomb;business;16
Alex Baker-Whitcomb;culture;20
Alex Baker-Whitcomb;gear;31
Alex Baker-Whitcomb;science;62
Alex Baker-Whitcomb;security;27
Alex Baker-Whitcomb;transportation;20
Total Alex Baker-Whitcomb;;176
Alex Bateman;science;1
Total Alex Bateman;;1
Alex Beard;the big story;1
Total Alex Beard;;1
Alex Bellos;science;2
Total Alex Bellos;;2
Alex Bennett;security;2
Total Alex Bennett;;2
Alex Bornyakov;ideas;1
Total Alex Bornyakov;;1
Alex Calderwood;business;1
Total Alex Calderwood;;1
Alex Christian;business;16
Alex Christian;culture;7
Alex Christian;gear;2
Alex Christian;science;8
Alex Christian;security;1
Total Alex Christian;;34
Alex Cohen;security;2
Alex Cohen;(vide);2
Total Alex Cohen;;4
Alex Cranz;gear;2
Total Alex Cranz;;2
Alex Csiszar;ideas;1
Total Alex Csiszar;;1
Alex Davies;business;23
Alex Davies;culture;2
Alex Davies;design;2
Alex Davies;gear;331
Alex Davies;science;1
Alex Davies;the big story;2
Alex Davies;transportation;543
Total Alex Davies;;904
Alex Depledge;business;1
Total Alex Depledge;;1
Alex Diggins;science;1
Total Alex Diggins;;1
Alex Doak;business;2
Alex Doak;gear;10
Total Alex Doak;;12
Alex Eliseev;business;2
Total Alex Eliseev;;2
Alex Engler;ideas;1
Total Alex Engler;;1
Alex Frankel;business;1
Alex Frankel;(vide);2
Total Alex Frankel;;3
Alex French;culture;1
Alex French;the big story;1
Total Alex French;;2
Alex Gladstein;ideas;1
Total Alex Gladstein;;1
Alex Godfrey;business;6
Alex Godfrey;culture;13
Alex Godfrey;gear;1
Total Alex Godfrey;;20
Alex Goy;business;1
Alex Goy;gear;4
Total Alex Goy;;5
Alex Hanna;ideas;1
Total Alex Hanna;;1
Alex Heard;(vide);2
Total Alex Heard;;2
Alex Howard;the big story;1
Total Alex Howard;;1
Alex Huneeus;culture;12
Total Alex Huneeus;;12
Alex Kendall;business;1
Total Alex Kendall;;1
Alex Krasodomski-Jones;business;1
Alex Krasodomski-Jones;science;1
Total Alex Krasodomski-Jones;;2
Alex Lash;(vide);1
Total Alex Lash;;1
Alex Lee, WIRED UK;business;33
Alex Lee, WIRED UK;culture;18
Alex Lee, WIRED UK;gear;18
Alex Lee, WIRED UK;science;15
Alex Lee, WIRED UK;security;9
Alex Lee, WIRED UK;the big story;1
Total Alex Lee, WIRED UK;;94
Alex Markels;(vide);2
Total Alex Markels;;2
Alex Miller;culture;2
Total Alex Miller;;2
Alex Pentland;opinion;1
Total Alex Pentland;;1
Alex Quicho;ideas;1
Total Alex Quicho;;1
Alex Reis;science;1
Total Alex Reis;;1
Alex Rinke;business;1
Total Alex Rinke;;1
Alex Salkever;(vide);8
Total Alex Salkever;;8
Alex Saltman;(vide);5
Total Alex Saltman;;5
Alex Stephany;business;1
Total Alex Stephany;;1
Alex Teytelboym;ideas;1
Total Alex Teytelboym;;1
Alex Ulam;(vide);1
Total Alex Ulam;;1
Alex W. Palmer;security;1
Total Alex W. Palmer;;1
Alex Whiting;science;1
Total Alex Whiting;;1
Alex Wild;business;1
Total Alex Wild;;1
Alex Winter;ideas;1
Total Alex Winter;;1
Alexa C. Kurzius;science;1
Total Alexa C. Kurzius;;1
Alexa Clay;business;1
Total Alexa Clay;;1
Alexa Hagerty;ideas;1
Total Alexa Hagerty;;1
Alexa Kurzius;science;1
Total Alexa Kurzius;;1
Alexa O'Brien;security;2
Total Alexa O'Brien;;2
Alexander B. Howard;business;1
Total Alexander B. Howard;;1
Alexander C. Kaufman;science;2
Total Alexander C. Kaufman;;2
Alexander Gelfand;business;1
Alexander Gelfand;culture;2
Alexander Gelfand;gear;4
Alexander Gelfand;science;1
Total Alexander Gelfand;;8
Alexander George;business;5
Alexander George;culture;1
Alexander George;gear;184
Alexander George;transportation;2
Total Alexander George;;192
Alexander Hellemans;science;1
Total Alexander Hellemans;;1
Alexander Kumar;science;1
Total Alexander Kumar;;1
Alexander Lew;gear;55
Total Alexander Lew;;55
Alexander Rose;(vide);2
Total Alexander Rose;;2
Alexander Sammon;the big story;1
Total Alexander Sammon;;1
Alexander Torrenegra;opinion;1
Total Alexander Torrenegra;;1
Alexander Webb;culture;1
Alexander Webb;security;1
Total Alexander Webb;;2
Alexander Zaitchik;culture;2
Total Alexander Zaitchik;;2
Alexandra Chang;business;4
Alexandra Chang;culture;1
Alexandra Chang;design;1
Alexandra Chang;gear;180
Total Alexandra Chang;;186
Alexandra Daisy Ginsberg;business;1
Total Alexandra Daisy Ginsberg;;1
Alexandra Deschamps-Sonsino;business;1
Total Alexandra Deschamps-Sonsino;;1
Alexandra Donahue;(vide);2
Total Alexandra Donahue;;2
Alexandra Huneeus;culture;3
Total Alexandra Huneeus;;3
Alexandra Ossola;the big story;1
Total Alexandra Ossola;;1
Alexandra Simon-Lewis;business;50
Alexandra Simon-Lewis;culture;27
Alexandra Simon-Lewis;gear;3
Alexandra Simon-Lewis;science;45
Alexandra Simon-Lewis;security;4
Total Alexandra Simon-Lewis;;129
Alexandra Witze;science;1
Total Alexandra Witze;;1
Alexandra Witze, Science News;science;21
Total Alexandra Witze, Science News;;21
Alexandrea J. Ravenelle;the big story;1
Total Alexandrea J. Ravenelle;;1
Alexei Levene;culture;1
Total Alexei Levene;;1
Alexey Kovalev;culture;1
Alexey Kovalev;security;1
Total Alexey Kovalev;;2
Alexis Hancock;ideas;1
Total Alexis Hancock;;1
Alexis Madrigal;business;4
Alexis Madrigal;culture;5
Alexis Madrigal;gear;6
Alexis Madrigal;science;528
Alexis Madrigal;transportation;1
Alexis Madrigal;(vide);5
Total Alexis Madrigal;;549
Alexis Ohanian;business;2
Total Alexis Ohanian;;2
Alexis Ong;business;1
Alexis Ong;culture;1
Total Alexis Ong;;2
Alexis Papazoglou;business;1
Total Alexis Papazoglou;;1
Alexis Sobel Fitts;business;1
Alexis Sobel Fitts;culture;3
Alexis Sobel Fitts;the big story;17
Total Alexis Sobel Fitts;;21
Alexis Wichowski;ideas;1
Alexis Wichowski;security;1
Total Alexis Wichowski;;2
Ali Bongo Ondimba;opinion;1
Total Ali Bongo Ondimba;;1
Ali Bouzari;science;1
Total Ali Bouzari;;1
Ali Cherkis;photo;1
Ali Cherkis;politics;1
Total Ali Cherkis;;2
Ali M Latifi;business;1
Total Ali M Latifi;;1
Ali Winston;security;3
Total Ali Winston;;3
Alice Bentinck;business;1
Total Alice Bentinck;;1
Alice Dreger;opinion;1
Total Alice Dreger;;1
Alice Fisher;(vide);1
Total Alice Fisher;;1
Alice Gregory;business;1
Alice Gregory;culture;1
Alice Gregory;(vide);1
Total Alice Gregory;;3
Alice Joanou;(vide);1
Total Alice Joanou;;1
Alice Lascelles;gear;1
Total Alice Lascelles;;1
Alice Lighton;business;1
Total Alice Lighton;;1
Alice Marwick;opinion;2
Total Alice Marwick;;2
Alice Robb;the big story;1
Total Alice Robb;;1
Alice Roth;culture;1
Total Alice Roth;;1
Alice Su;security;3
Total Alice Su;;3
Alice Vincent;business;4
Alice Vincent;culture;20
Alice Vincent;photo;1
Alice Vincent;science;1
Total Alice Vincent;;26
Alicia Ault;(vide);3
Total Alicia Ault;;3
Aliette de Bodard;culture;1
Total Aliette de Bodard;;1
Alisa Valentin;ideas;1
Total Alisa Valentin;;1
Alisha Mughal;ideas;1
Total Alisha Mughal;;1
Alison Coil;science;1
Total Alison Coil;;1
Alison Cranage;science;1
Total Alison Cranage;;1
Alison Flood;culture;1
Total Alison Flood;;1
Alison Hallett;culture;5
Total Alison Hallett;;5
Alison Hawkes;(vide);1
Total Alison Hawkes;;1
Alison Schafer;culture;1
Alison Schafer;security;1
Total Alison Schafer;;2
Alison Strahan;culture;2
Alison Strahan;science;2
Total Alison Strahan;;4
Alison Willmore;(vide);5
Total Alison Willmore;;5
Alissa Quart;(vide);1
Total Alissa Quart;;1
Alissa Walker;design;4
Alissa Walker;gear;1
Total Alissa Walker;;5
Alisson Clark;(vide);57
Total Alisson Clark;;57
Alistair Charlton;business;13
Alistair Charlton;gear;11
Total Alistair Charlton;;24
Alistair Weaver;business;7
Alistair Weaver;gear;6
Alistair Weaver;science;1
Total Alistair Weaver;;14
Alix Berger;(vide);3
Total Alix Berger;;3
Alix Christie;business;1
Total Alix Christie;;1
Alizeh Kohari;the big story;1
Total Alizeh Kohari;;1
Allan Hoffman;security;1
Total Allan Hoffman;;1
Allan Liska;security;1
Total Allan Liska;;1
Allan Lundell;(vide);2
Total Allan Lundell;;2
Allen Frances;opinion;1
Total Allen Frances;;1
Allen McDuffee;business;3
Allen McDuffee;gear;1
Allen McDuffee;security;55
Allen McDuffee;(vide);1
Total Allen McDuffee;;60
Allen Whitman;culture;1
Allen Whitman;(vide);1
Total Allen Whitman;;2
Allie Fisher;gear;1
Total Allie Fisher;;1
Allie Funk;ideas;3
Total Allie Funk;;3
Allie Wilkinson;science;1
Total Allie Wilkinson;;1
Allison Arieff;design;1
Total Allison Arieff;;1
Allison Davis;(vide);3
Total Allison Davis;;3
Allison Fishman;business;1
Total Allison Fishman;;1
Allison P Davies;science;1
Total Allison P Davies;;1
Allison P. Davis;science;1
Allison P. Davis;(vide);6
Total Allison P. Davis;;7
Allison Parshall;science;1
Total Allison Parshall;;1
Allison Roeser;business;1
Allison Roeser;culture;2
Total Allison Roeser;;3
Allison Samuels;culture;1
Total Allison Samuels;;1
Allison Whitten;science;7
Total Allison Whitten;;7
Allucqué re Rosanne Stone;(vide);1
Total Allucqué re Rosanne Stone;;1
Allyce Andrew;culture;2
Total Allyce Andrew;;2
Allyson McCabe;culture;1
Total Allyson McCabe;;1
Allyssia Alleyne;business;4
Allyssia Alleyne;culture;5
Allyssia Alleyne;gear;1
Allyssia Alleyne;science;3
Total Allyssia Alleyne;;13
Aloe Blacc;culture;1
Total Aloe Blacc;;1
Alton Brown;science;1
Total Alton Brown;;1
Alvy Ray Smith;opinion;1
Total Alvy Ray Smith;;1
Aly Kassam-Remtulla;ideas;1
Total Aly Kassam-Remtulla;;1
Alyson Krueger;business;1
Total Alyson Krueger;;1
Alyssa Ages;gear;2
Total Alyssa Ages;;2
Alyssa Coppelman;culture;1
Alyssa Coppelman;design;4
Alyssa Coppelman;photo;9
Total Alyssa Coppelman;;14
Alyssa Katz;security;2
Total Alyssa Katz;;2
Alyssa Opzoomer;business;1
Total Alyssa Opzoomer;;1
Alyssa Rosenberg;culture;1
Total Alyssa Rosenberg;;1
Alyssa Walker;politics;1
Total Alyssa Walker;;1
Amanda Castleman;culture;1
Amanda Castleman;gear;1
Amanda Castleman;(vide);1
Total Amanda Castleman;;3
Amanda Chicago Lewis;business;1
Amanda Chicago Lewis;the big story;2
Total Amanda Chicago Lewis;;3
Amanda Florian;business;1
Total Amanda Florian;;1
Amanda Fortini;business;1
Amanda Fortini;design;1
Total Amanda Fortini;;2
Amanda Gefter;science;1
Total Amanda Gefter;;1
Amanda Griscom;culture;1
Amanda Griscom;(vide);3
Total Amanda Griscom;;4
Amanda Griscom Little;business;2
Amanda Griscom Little;gear;2
Total Amanda Griscom Little;;4
Amanda Hoover;business;34
Amanda Hoover;culture;13
Amanda Hoover;gear;3
Amanda Hoover;science;9
Amanda Hoover;security;4
Total Amanda Hoover;;63
Amanda Kolson Hurley;science;2
Total Amanda Kolson Hurley;;2
Amanda Little;the big story;1
Total Amanda Little;;1
Amanda Parrish Morgan;ideas;1
Total Amanda Parrish Morgan;;1
Amanda Rees;ideas;1
Total Amanda Rees;;1
Amanda Schaffer;science;1
Total Amanda Schaffer;;1
Amandeep Jawa;(vide);1
Total Amandeep Jawa;;1
Ambarish Mitra;opinion;1
Total Ambarish Mitra;;1
Ambassador Daniel A. Sepulveda;opinion;1
Total Ambassador Daniel A. Sepulveda;;1
Ambassador David O'Sullivan;business;1
Total Ambassador David O'Sullivan;;1
Amber Marks;security;1
Total Amber Marks;;1
Amber Williams;science;2
Total Amber Williams;;2
Ambrose Bierce;(vide);2
Total Ambrose Bierce;;2
Amelia Heathman;business;82
Amelia Heathman;culture;15
Amelia Heathman;gear;8
Amelia Heathman;science;65
Amelia Heathman;security;16
Total Amelia Heathman;;186
Amelia Rina;photo;1
Total Amelia Rina;;1
Amelia Tait;business;2
Amelia Tait;culture;46
Amelia Tait;science;3
Amelia Tait;the big story;2
Total Amelia Tait;;53
Amelia Urry;science;5
Total Amelia Urry;;5
Amie Stepanovich;opinion;2
Total Amie Stepanovich;;2
Amilia St. John;business;1
Total Amilia St. John;;1
Amine Ghoulidi;culture;1
Total Amine Ghoulidi;;1
Amir Mizroch;security;2
Total Amir Mizroch;;2
Amit Asaravala;business;12
Amit Asaravala;culture;8
Amit Asaravala;gear;4
Amit Asaravala;science;73
Amit Asaravala;security;6
Total Amit Asaravala;;103
Amit Katwala;business;38
Amit Katwala;culture;70
Amit Katwala;gear;11
Amit Katwala;ideas;2
Amit Katwala;movies;1
Amit Katwala;science;52
Amit Katwala;security;10
Amit Katwala;the big story;9
Amit Katwala;transportation;1
Total Amit Katwala;;194
Amitav Koul;(vide);2
Total Amitav Koul;;2
Amitha Kalaichandran;ideas;2
Amitha Kalaichandran;science;1
Total Amitha Kalaichandran;;3
AMO;(vide);1
Total AMO;;1
Amol Sarva;science;1
Total Amol Sarva;;1
Amos Barshad;culture;29
Total Amos Barshad;;29
Amos Meiri;business;1
Total Amos Meiri;;1
Amos Toh;ideas;2
Total Amos Toh;;2
Amos Zeeberg;science;1
Amos Zeeberg;the big story;1
Total Amos Zeeberg;;2
Amrit Chandan;ideas;1
Total Amrit Chandan;;1
Amy B. Zegart;ideas;1
Total Amy B. Zegart;;1
Amy Briscoe;culture;2
Total Amy Briscoe;;2
Amy Bruckman;culture;1
Amy Bruckman;(vide);19
Total Amy Bruckman;;20
Amy Cortese;(vide);1
Total Amy Cortese;;1
Amy Crawford;science;1
Total Amy Crawford;;1
Amy Davies;business;1
Amy Davies;gear;2
Total Amy Davies;;3
Amy Doan;(vide);1
Total Amy Doan;;1
Amy Francombe;gear;1
Total Amy Francombe;;1
Amy Gajda;ideas;3
Total Amy Gajda;;3
Amy Guthrie;the big story;1
Total Amy Guthrie;;1
Amy Hawkins;business;2
Amy Hawkins;ideas;3
Amy Hawkins;science;1
Total Amy Hawkins;;6
Amy Hembree;business;1
Amy Hembree;culture;3
Amy Hembree;science;5
Total Amy Hembree;;9
Amy Hoppy;(vide);4
Total Amy Hoppy;;4
Amy Howorth;(vide);2
Total Amy Howorth;;2
Amy Jo Kim;(vide);2
Total Amy Jo Kim;;2
Amy Johns;(vide);19
Total Amy Johns;;19
Amy Kraft;(vide);75
Total Amy Kraft;;75
Amy Martyn;business;1
Amy Martyn;the big story;
Total Amy Martyn;;1
Amy Maxmen;science;1
Total Amy Maxmen;;1
Amy Moran-Thomas;ideas;1
Total Amy Moran-Thomas;;1
Amy Paturel;gear;1
Amy Paturel;security;1
Total Amy Paturel;;2
Amy Teitel;business;1
Total Amy Teitel;;1
Amy Thompson;science;30
Total Amy Thompson;;30
Amy Virshup;culture;2
Amy Virshup;(vide);3
Total Amy Virshup;;5
Amy Wallace;business;1
Amy Wallace;science;3
Amy Wallace;the big story;2
Amy Wallace;(vide);6
Total Amy Wallace;;12
Amy Webb;business;1
Amy Webb;ideas;2
Amy Webb;opinion;2
Amy Webb;science;2
Total Amy Webb;;7
Amy Zimmerman;culture;2
Amy Zimmerman;(vide);1
Total Amy Zimmerman;;3
amyatwired;(vide);24
Total amyatwired;;24
an instruction that uses the result. The second instruction cannot be;(vide);1
Total an instruction that uses the result. The second instruction cannot be;;1
Ana Bedia;culture;1
Total Ana Bedia;;1
Ana Diaz;culture;1
Total Ana Diaz;;1
Ana Lily Amirpour;culture;1
Total Ana Lily Amirpour;;1
Ana Marie Cox;(vide);3
Total Ana Marie Cox;;3
Ana Montserrat;security;1
Total Ana Montserrat;;1
Anagha Srikanth;business;1
Total Anagha Srikanth;;1
Anamika Talwaria;science;1
Total Anamika Talwaria;;1
Anastacia Marx de Salcedo;science;1
Total Anastacia Marx de Salcedo;;1
Anders Bylund, Ars Technica;business;1
Total Anders Bylund, Ars Technica;;1
Anders Lund;(vide);2
Total Anders Lund;;2
Andrada Fiscutean;security;1
Total Andrada Fiscutean;;1
André LaPlume;(vide);6
Total André LaPlume;;6
Andrea Girolami;culture;1
Total Andrea Girolami;;1
Andrea Gunraj;ideas;1
Total Andrea Gunraj;;1
Andrea J. Arratibel;science;1
Total Andrea J. Arratibel;;1
Andrea Jenkins;(vide);2
Total Andrea Jenkins;;2
