Identifiant;Titre;Description;Domaine;Sous-domaine;Type de producteur;Direction;Service;Sous-direction / département;Boîte fonctionnelle;Précision domaine;Mots-clés;Données géolocalisées;Lien1;Lien2;Fréquence de mise à jour;Volumétrie;Type de format;Autres formats;Couverture géographique1;Couverture géographique2;Statut ouverture;Date de mise à jour;Actif / Inactif;Couverture géographique;Perspectives de diffusion
CAT-0071;Films à la télévision - Données statistiques;Nombre de films et de diffusions selon la chaîne et le type de films depuis 1990;Audiovisuel;Télévision;Administration centrale;Centre national du cinéma et de l'image animée (CNC);CNC;DESPRO;data-snum@culture.gouv.fr;;;;;https://www.cnc.fr/professionnels/etudes-et-rapports/statistiques/statistiques-par-secteur;En continu;;XLS;;France entière;;Ouvert;2021-11-15;Actif;France entière;Ouvrable
CAT-0096;Baromètre du marché publicitaire TV (télévision);Baromètre mensuel du marché publicitaire : volume et investissements selon les chaînes, volume et investissements pour la promotion des films;Audiovisuel;Télévision;Administration centrale;Centre national du cinéma et de l'image animée (CNC);CNC;DESPRO;data-snum@culture.gouv.fr;;;;;https://www.cnc.fr/series-tv/etudes-et-rapports/statistiques/barometre-marche-publicitaire;En continu;;;pdf;France entière;;Ouvert;2021-11-15;Actif;France entière;Ouvrable
CAT-0105;Archives de la famille Magnin;Récolement des archives familiales du fonds Magnin;Archives;;Service à compétence nationale;Musée Magnin;;;data-snum@culture.gouv.fr;;photographie;;;https://www.archinoe.fr/console/ir_ead_visu.php?eadid=FRAD021_000002483&ir=26175;Annuelle;155 documents ou ensembles de documents;XLS;;France entière;;Non ouvert;2021-11-15;Actif;France entière;Ouvrable
CAT-0126;Observatoire des dérogations;Traitement des demandes d’accès anticipé aux documents d’archives publiques non librement communicables. Ces données couvrent la politique d'accès aux archives publiques pour l'ensemble des services publics d'archives relevant du périmètre du ministère de la Culture;Archives;;Administration centrale;Direction générale des patrimoines et de l'architecture;Service interministériel des Archives de France;Sous-direction du pilotage, de la communication et de la valorisation des archives;data-snum@culture.gouv.fr;;;;;;En continu;300 Ko;XLS;;France entière;;Non ouvert;2021-11-15;Actif;France entière;Ouvrable
CAT-0183;Catalogue de la bibliothèque du centre de documentation du Service de l'archéologie (SRA) de la DRAC Bretagne;Notices du fond du centre de documentation du service réginal de l'archéologie (périodique, littérature grise, extrait, monographie…) avec de nombreux document spécialisé au niveau régionale,;Patrimoine;Archéologie;Direction régionale des affaires culturelles;DRAC Bretagne;;Service de l'archéologie;data-snum@culture.gouv.fr;documentation;"documentation ; bibliothèque ; bibliographie";;;https://catalogue.frantiq.fr/cgi-bin/koha/opac-search.pl?idx=&q=&limit=branch%3AAREN&sort_by=relevance_dsc&limit=holdingbranch:AREN;En continu;;;unimarc;France entière;;Non ouvert;2021-11-15;Actif;France entière;Ouvrable
CAT-0254;Appel à projets Compagnonnage : compagnonnage auteurs / plateau;Liste des lauréats de l'appel à projets Compagnonnage : compagnonnage auteurs / plateau, coordonnées des lauréats,  informations administratives et fnancières;Spectacle vivant;Théâtre;Administration centrale;Direction générale de la création artistique;Délégation au théâtre et aux arts associés;;data-snum@culture.gouv.fr;;appel à projet (AAP);;;;NSP;;XLS;;France entière;;Non ouvert;2021-11-15;Actif;France entière;Ouvrable partiellement
CAT-0342;Dossiers documentaires pour les immeubles - DRAC Grand-Est;Historiques et descriptions architecturales des biens immeubles;Patrimoine;Monuments;Direction régionale des affaires culturelles;DRAC Grand-Est;;Conservation régionale des monuments historiques;data-snum@culture.gouv.fr;;immeuble;;;;En continu;;;pdf;Grand Est;;Non ouvert;2021-11-15;Actif;Grand Est;Ouvrable partiellement
CAT-0375;Liste des Maisons des illustres (2016-2020) de Centre-Val de Loire;La région Centre-Val de Loire compte actuellement 18 lieux portant ce label créé par le ministère de la Culture en 2011. Localisation, nom du site, présentation de la personnalité attachée au site;Patrimoine;;Direction régionale des affaires culturelles;DRAC Centre-Val de Loire;;;data-snum@culture.gouv.fr;;"maison des illustres ; label et appellation ; lieu culturel";;;;En continu;;ODS;;Centre-Val de Loire;;Non ouvert;2021-11-15;Actif;Centre-Val de Loire;Ouvrable
CAT-0380;Cinémas classés « art et essai » (2012-2020) de Centre-Val de Loire;Liste et subvention des cinémas classés « art et essai » (2012-2020);Audiovisuel;Film et cinéma;Direction régionale des affaires culturelles;DRAC Centre-Val de Loire;;;data-snum@culture.gouv.fr;;;;;;En continu;;ODS;;Centre-Val de Loire;;Non ouvert;2021-11-15;Actif;Centre-Val de Loire;Ouvrable
CAT-0382;Liste des festivals de Centre-Val de Loire;Liste des festivals (spectacle vivant, littéraire, cinéma) identifiés par la DRAC;Pluridisciplinaire;;Direction régionale des affaires culturelles;DRAC Centre-Val de Loire;;;data-snum@culture.gouv.fr;;"festival ; lieu culturel";;;;En continu;;ODS;;Centre-Val de Loire;;Non ouvert;2021-11-15;Actif;Centre-Val de Loire;Ouvrable
CAT-0424;Répartition des subventions par département en Bourgogne Franche-Comté;Etude par département des aides du pôle en fonction d'indicateurs sociaux et territoriaux;Pluridisciplinaire;;Direction régionale des affaires culturelles;DRAC Bourgogne-France-Comté;;Pôle CIAC;data-snum@culture.gouv.fr;;subvention;;;;En continu;4 345 Ko;ODS;;Bourgogne-Franche-Comté;;Non ouvert;2021-11-15;Actif;Bourgogne-Franche-Comté;Ouvrable
CAT-0482;Données de suivi budgétaire du DRASSM;Tableaux de suivi financier du Département des recherches archéologiques subaquatiques et sous-marines (DRASSM) incluant les recettes et les dépenses, en prévision et en exécution;Patrimoine;Archéologie;Service à compétence nationale;Département des recherches archéologiques subaquatiques et sous-marines (DRASSM);;;le-drassm@culture.gouv.fr;Archéologie maritime;"budget ; recettes et dépenses";;;;En continu;500 ko;XLS;;France entière;;Non ouvert;2021-11-15;Actif;France entière;Ouvrable partiellement
CAT-0517;Dossiers des monuments historiques de la région Provence-Alpes-Côte d'Azur;L'ensemble des dossiers de protection et de travaux relatifs aux monuments protégés de la région Provence-Alpes-Côte d'Azur;Patrimoine;Monuments;Direction régionale des affaires culturelles;DRAC Provence-Alpes-Côte d'Azur;;;data-snum@culture.gouv.fr;;architecture;;;https://culture.eligis-web.com;En continu;741 Go, supérieur à 150 000 enregistrements;XLS;pdf;Provence-Alpes-Côte d’Azur;;Non ouvert;2021-11-15;Actif;Provence-Alpes-Côte d’Azur;Ouvrable
CAT-0519;"Les collections ""Musées"" de la région Provence-Alpes-Côte d'Azur";Notices et illustrations des collections muséales;Patrimoine;Musées;Direction régionale des affaires culturelles;DRAC Provence-Alpes-Côte d'Azur;;;data-snum@culture.gouv.fr;;;;;https://culture.eligis-web.com;Trimestrielle;;;;Provence-Alpes-Côte d’Azur;;Non ouvert;2021-11-15;Actif;Provence-Alpes-Côte d’Azur;Ouvrable
CAT-0676;Nombre d'animations inscrites aux Journées européennes du patrimoine de Nouvelle-Aquitaine;Nombre d'animations inscrites aux Journées européennes du patrimoine;Patrimoine;;Direction régionale des affaires culturelles;DRAC Nouvelle Aquitaine;;;data-snum@culture.gouv.fr;;manifestation nationale;;;;En continu;;;;Nouvelle-Aquitaine;;Non ouvert;2021-11-15;Actif;Nouvelle-Aquitaine;Ouvrable
CAT-0725;Dépenses du ministère de la Culture par département;Dépenses du ministère de la Culture par département en 2019. Ces dépenses ne comprennent pas les dépenses de personnel.;;Financement;Administration centrale;Secrétariat Général;Département des études, de la prospective, des statistiques et de la documentation;;atlas.culture@culture.gouv.fr;;"statistiques  ; recettes et dépenses";;https://data.culture.gouv.fr/explore/dataset/depenses-du-ministere-de-la-culture_departements-copie/;;Annuelle;;CSV;XLS;France entière;;Ouvert;2022-10-25;Actif;France entière;Ouvrable
CAT-0742;Aide à l'itinérance des cirques de création;L'aide à l'itinérance vise à soutenir des compagnies ou des entreprises de cirque qui diffusent régulièrement leurs spectacles sous chapiteau en itinérance. Le jeu de données recense les bénéficiaires à partir de 2023.;Spectacle vivant;;Administration centrale;Direction générale de la création artistique;Délégation au théâtre et aux arts associés;;;;"cirque ; aides";;https://data.culture.gouv.fr/explore/dataset/aide-a-l-itinerance-des-cirques-de-creation;;;;XLSX;CSV;;;Ouvert;2023-12-08;Actif;;Ouvrable
CAT-0745;Aides nationales à la création pour les arts du cirque et pour les arts de la rue;"L'aide nationale à la création concerne les projets de création d’envergure dans le domaine des arts du cirque et des arts de la rue d’une part, et ceux qui, toutes disciplines du spectacle vivant confondues, prennent en considération l'espace public, d’autre part. 
Le jeu données recense les bénéficiaires du dispositif à partir de 2023.";Spectacle vivant;;Administration centrale;Direction générale de la création artistique;Délégation au théâtre et aux arts associés;;;;"cirque ; arts de la rue ; aides";;https://data.culture.gouv.fr/explore/dataset/aides-nationales-a-la-creation-pour-arts-du-cirque-et-pour-arts-de-la-rue;;;;XLSX;CSV;;;Ouvert;2023-12-19;Actif;;Ouvrable
CAT-0217;Structure de diffusion de l'art contemporain et d'enseignement des arts plastiques en Pays de la Loire;Liste des structures de diffusion de l'art contemporain et d'enseignement des arts plastiques en Pays de la Loire;Arts visuels;;Direction régionale des affaires culturelles;DRAC Pays de la Loire;;Pôle CICAT;data-snum@culture.gouv.fr;;;;;;Annuelle;1 Mo;XLS;;Pays de la Loire;;Non ouvert;2021-11-15;Actif;Pays de la Loire;Ouvrable
CAT-0001;Inventaire des lieux culturels de Normandie;Inventaire des lieux culturels de Normandie géolocalisés. Les domaines représentés sont les suivants : spectacle vivant (structures labellisées, lieux de diffusion, compagnies conventionnées, enseignement artistique), livre (bibliothèques publiques, librairies labellisées), cinéma (salles art et essai, autres salles), arts plastiques (principaux acteurs, lieux de diffusion), patrimoine (musées, maisons des illustres, jardins remarquables, monuments historiques, villes d'art et d'histoire);Pluridisciplinaire;;Direction régionale des affaires culturelles;DRAC Normandie;;;udap.calvados@culture.gouv.fr;;"lieu culturel ; label et appellation ; géolocalisation";Oui;https://data.culture.gouv.fr/explore/dataset/lieux-culturels-en-normandie/information/?disjunctive.labltype;;En continu;Inférieur à 1Mo;CSV;Shapefile;Normandie;;Ouvert;2021-11-15;Actif;Normandie;Ouvrable
CAT-0007;Bibliothèque spécialisée des Archives nationales du monde du travail;"Ensemble des notices des fonds de la bibliothèque spécialisée des Archives nationales du monde du travail.
La bibliothèque des Archives nationales du monde du travail conserve plus de 20 000 ouvrages et périodiques, couvrant des périodes et des thématiques variées de l’histoire économique et professionnelle. Cette riche collection, dont l’ouvrage le plus ancien date de 1733, constitue un utile complément aux fonds d’archives.
Industrie, transports, commerce, syndicats, mutuelles : ce sont là quelques exemples des multiples domaines qu’elle permet d’illustrer.

Les données sont téléchargeables en format XML UNIMARC.";Archives;;Service à compétence nationale;Archives Nationales du Monde du Travail;;;data-snum@culture.gouv.fr;;bibliothèque;;https://data.culture.gouv.fr/explore/dataset/notices-des-fonds-de-la-bibliotheque-des-archives-nationales-du-monde-du-travail/;"https://pmb.culture.fr/opac_anmt/ ; https://pmb.culture.fr/pmbws_anmt/PMBWS_2?verb=ListRecords&metadataPrefix=pmb_xml_unimarc";En continu;Fichier très volumineux;XML;;France entière;Monde;Non ouvert;2021-11-15;Actif;France entière,Monde;Ouvrable
CAT-0115;Catalogue de la Bibliothèque de la Médiathèque de l'architecture et du patrimoine;Catalogue des fonds de la Biblitothèque;Bibliothèques;;Service à compétence nationale;Médiathèque de l’architecture et du patrimoine;;Bibliothèque;mediatheque.patrimoine@culture.gouv.fr;"Patrimoine ; Architecture";photographie;;;https://mediatheque-patrimoine.culture.gouv.fr/bibliotheque;En continu;;;Système intégré de gestion de bibliothèque Koha;France entière;;Non ouvert;2021-11-15;Actif;France entière;Ouvrable
CAT-0199;Sites Patrimoniaux Remarquables - Côtes-d'Armor (Bretagne);Localisation des Sites Patrimoniaux Remarquables (SPR);Patrimoine;;Direction régionale des affaires culturelles;DRAC Bretagne;;UDAP 22;data-snum@culture.gouv.fr;Urbanisme;"site patrimonial remarquable (SPR) ; géoréférencement";Oui;;http://atlas.patrimoines.culture.fr/atlas/;En continu;;CSV;;Bretagne;;Non ouvert;2021-11-15;Actif;Bretagne;ouvrable
CAT-0227;Villes et Pays d'Art et d'Histoire (VPAH) en Pays de la Loire;Liste des Villes et Pays d'Art et d'Histoire (VPAH) en Pays de la Loire;Pluridisciplinaire;;Direction régionale des affaires culturelles;DRAC Pays de la Loire;;Pôle CICACT;data-snum@culture.gouv.fr;architecture, patrimoine;"ville et pays d'art et d'histoire (VPAH) ; label et appellation ; lieu culturel";;;;Annuelle;1 Mo;XLS;;Pays de la Loire;;Non ouvert;2021-11-15;Actif;Pays de la Loire;Ouvrable
CAT-0377;Label « Librairies indépendantes de référence » (2014-2020) de Centre-Val de Loire;Ce label de qualité est décerné pour trois ans par les préfets de région à partir d'un rapport émis par le Centre national du Livre (CNL) et après avis d’une commission composée de professionnels de la chaîne du livre. Le jeu de données donne la liste, la spécialité, la date de labelisation des librairies bénéficiaires du label;Livres et Presse;;Direction régionale des affaires culturelles;DRAC Centre-Val de Loire;;;data-snum@culture.gouv.fr;;"librairie ; label et appellation";;;;En continu;;ODS;;Centre-Val de Loire;;Non ouvert;2021-11-15;Actif;Centre-Val de Loire;Ouvrable
CAT-0384;Artistes plasticiens soutenus au titre de l’aide individuelle (2000-2020) en Centre-Val de Loire;Artistes soutenus au titre de la création, l’installation d’atelier, l’équipement : nature et montant de l’aide;Arts visuels;Arts plastiques;Direction régionale des affaires culturelles;DRAC Centre-Val de Loire;;;data-snum@culture.gouv.fr;;"budget ; subvention";;;;En continu;;ODS;;Centre-Val de Loire;;Non ouvert;2021-11-15;Actif;Centre-Val de Loire;Ouvrable partiellement
CAT-0413;Zones de Présemption de Prescription Archéologique (ZPPA) en Bourgogne Franche-Comté;Zones de Présemption de Prescription Archéologique en Bourgogne Franche Comté;Patrimoine;Archéologie;Direction régionale des affaires culturelles;DRAC Bourgogne-France-Comté;;Pôle patrimoines, architecture et espages protégés;data-snum@culture.gouv.fr;;zone de présemption de prescription archéologique (ZPPA);;;;En continu;;CSV;shp;Bourgogne-Franche-Comté;;Non ouvert;2021-11-15;Actif;Bourgogne-Franche-Comté;Ouvrable
CAT-0415;Rapports finaux d'opérations archéologiques en Bourgogne Franche-Comté;Rapports finaux d'opérations archéologiques en Bourgogne Franche Comté;Patrimoine;Archéologie;Direction régionale des affaires culturelles;DRAC Bourgogne-France-Comté;;Pôle patrimoines, architecture et espages protégés;data-snum@culture.gouv.fr;;;;;;En continu;500 Go;;pdf;Bourgogne-Franche-Comté;;Non ouvert;2021-11-15;Actif;Bourgogne-Franche-Comté;Ouvrable
CAT-0526;Inventaire des photographies aériennes de Roger Agache;Inventaire des photographies aériennes de Roger Agache;Patrimoine;;Direction régionale des affaires culturelles;DRAC Hauts-de-France;;Service régional de l'archéologie;sra-lille@culture.gouv.fr;;;;;;Aucune;;;;Hauts-de-France;;Non ouvert;2021-11-15;Actif;Hauts-de-France;Ouvrable partiellement
CAT-0571;Arrêtés de prescription et autorisation d'opérations archéologiques du Grand Est;Liste des arrêtés émis par le Service régional de l'archéologie : arrêtés de prescription de fouilles, diagnostic et autorisation de fouilles programmées;Patrimoine;Archéologie;Direction régionale des affaires culturelles;DRAC Grand-Est;;;data-snum@culture.gouv.fr;;arrêté;;;;En continu;;ODS;;Grand Est;;Non ouvert;2021-11-15;Actif;Grand Est;Ouvrable
CAT-0633;Annuaire des lieux et compagnies de théâtre en Île-de-France;Annuaire des coordonnées administratives lieux et compagnies de théâtre - Ile-de-France;Pluridisciplinaire;;Direction régionale des affaires culturelles;DRAC Île-de-France;;SRC (Service régional de la création) - service Théâtre;data-snum@culture.gouv.fr;;lieu culturel;;;;En continu;;;;Ile-de-France;;Non ouvert;2021-11-15;Actif;Ile-de-France;Ouvrable
CAT-0706;Collections des musées de France : base Joconde;La base Joconde décrit les oeuvres des musées de France (650 000 notices environ).;Patrimoine;Musées;Administration centrale;Direction générale des patrimoines et de l'architecture;Service des musées de France;sous-direction des collections;;;"musée de France ; label et appellation";;https://data.culture.gouv.fr/explore/dataset/base-joconde-extrait;https://www.pop.culture.gouv.fr/search/mosaic?base=%5B%22Collections%20des%20mus%C3%A9es%20de%20France%20%28Joconde%29%22%5D&image=%5B%22oui%22%5D;En continu;Envrion 650°000 notices et images;CSV;;France entière;;Ouvert;2021-12-16;Actif;France entière;Ouvrable
CAT-0445;Liste des dispositifs interministériels en Bourgogne Franche-Comté;Liste des dispositifs interministériels : culture-justice, culture-santé, culture-agriculture;Pluridisciplinaire;;Direction régionale des affaires culturelles;DRAC Bourgogne-France-Comté;;Pôle CIAC;data-snum@culture.gouv.fr;;;;;;En continu;1 Mo;XLS;;Bourgogne-Franche-Comté;;Non ouvert;2021-11-15;Actif;Bourgogne-Franche-Comté;Ouvrable
CAT-0566;Couches géoréférencées : cartes de servitudes - DAC La Réunion;Cartes de servitudes;Patrimoine;Monuments;Direction régionale des affaires culturelles;DAC La Réunion;;;udap.daclareunion@culture.gouv.fr;;;;;;Trimestrielle;;DOC;shp ou map info;La Réunion;Mayotte;Non ouvert;2021-11-15;Actif;La Réunion,Mayotte;Ouvrable
CAT-0694;Dépenses culturelles des communes (de plus de 3500 habitants);Extrait des comptes de gestion des communes transmis par la Direction générale des finances publiques (DGFiP) comportant les montants des dépenses culturelles par domaine culturel et par nature comptable (fonctionnement, investissement, etc.).;;Financement;Administration centrale;Secrétariat Général;Département des études, de la prospective, des statistiques et de la documentation;;atlas.culture@culture.gouv.fr;;"statistiques ; recettes et dépenses";;https://data.culture.gouv.fr/explore/dataset/base_depenses_communes_2019/;;Annuelle;;XLS;SAS;France entière;;Ouvert;2022-10-25;Actif;France entière;Ouvrable
CAT-0085;Fréquentation et courts métrages en salles;Nombre de courts métrages exploités en salles selon le type de films - Entrées des courts métrages;Audiovisuel;Film et cinéma;Administration centrale;Centre national du cinéma et de l'image animée (CNC);CNC;DESPRO;data-snum@culture.gouv.fr;;;;;https://www.cnc.fr/professionnels/etudes-et-rapports/statistiques/statistiques-par-secteur;En continu;;XLS;;France métropolitaine;;Ouvert;2021-11-15;Actif;France métropolitaine;Ouvrable
CAT-0588;Catalogue du centre de documentation de la DRAC Nouvelle Aquitaine;Base de données sur les collections documentaires du Service régionale de l'archéologie (SRA) consultables sur place incluant les rapports d’opération;Patrimoine;Archéologie;Direction régionale des affaires culturelles;DRAC Nouvelle Aquitaine;;;data-snum@culture.gouv.fr;;"documentation ; bibliographie";;;;En continu;;;;Nouvelle-Aquitaine;;Non ouvert;2021-11-15;Actif;Nouvelle-Aquitaine;Ouvrable
CAT-0603;Zones de présomption de prescription archéologique (ZPPA);Principalement, des fichiers cartographiques communaux (PDF) figurant les zones de sensibilité et accessoirement fichiers textes word (arrêtés de zonages);Patrimoine;Archéologie;Direction régionale des affaires culturelles;DRAC Nouvelle Aquitaine;;;data-snum@culture.gouv.fr;;;;;;En continu;1 fichier par commune, pour les communes sensibles uniquement;;pdf;Nouvelle-Aquitaine;;Non ouvert;2021-11-15;Actif;Nouvelle-Aquitaine;Ouvrable
CAT-0623;"Liste des musées en Nouvelle Aquitaine adhérant à ""Alienor.org, Conseil des musées""";Liste des musées adhérant à l’association « Alienor.org, Conseil des musées » étendue à l'ensemble de la région Nouvelle-Aquitaine. Elle constitue à ce jour un réseau de près d'une cinquantaine de musées. L’ensemble des acteurs de ce réseau œuvrant ensemble à la mise en valeur de leurs collections via Internet et les outils numériques.;Patrimoine;Musées;Direction régionale des affaires culturelles;DRAC Nouvelle Aquitaine;;;data-snum@culture.gouv.fr;;;;;https://www.alienor.org/musees/;En continu;;;;Nouvelle-Aquitaine;;Non ouvert;2021-11-15;Actif;Nouvelle-Aquitaine;Ouvrable
CAT-0704;Institutions culturelles partenaires du portail Histoire des arts;Liste et localisation des institutions culturelles françaises produisant des ressources pédagogiques en ligne et partenaires du site Histoire des arts.;Pluridisciplinaire;;Administration centrale;Délégation générale à la transmission aux territoires et à la démocratie culturelle;Sous-direction de la participation culturelle;Bureau des pratiques culturelles;histoiredesarts@culture.gouv.fr;;géolocalisation;Oui;https://data.culture.gouv.fr/explore/dataset/liste-des-institutions-culturelles-francaise-produisant-des-ressources-pedagogiq;https://histoiredesarts.culture.gouv.fr/;En continu;;;CSV;France entière;;Ouvert;2021-12-06;Actif;France entière;Ouvrable
CAT-0732;"Label ""patrimoine européen""";Ce label est décerné par l’Union européenne à des sites témoins de l'héritage européen et choisis pour leur valeur symbolique. Son objectif est d'aider les citoyens européens à mieux comprendre l’histoire de l’Europe et de la construction de l’Union ainsi que celle de leur patrimoine culturel commun.;;;Administration centrale;Direction générale des patrimoines et de l'architecture;Mission patrimoine mondial;;;;"label et appellation ; lieu culturel";Oui;https://data.culture.gouv.fr/explore/dataset/label-patrimoine-europeen;;;;XLSX;;;;Ouvert;2023-02-16;Actif;;Ouvrable
CAT-0127;Activité des services d’archives en France : ensemble des données statistiques;Ces données statistiques sont collectées par le service interministériel des Archives de France (SIAF) du ministère de la Culture auprès des services publics d’archives par le biais d’une enquête annuelle;Archives;;Administration centrale;Direction générale des patrimoines et de l'architecture;Service interministériel des Archives de France;Sous-direction du pilotage, de la communication et de la valorisation des archives;data-snum@culture.gouv.fr;;;;;;En continu;469 Mo;XLS;ods;France entière;;Non ouvert;2021-11-15;Actif;France entière;Ouvrable partiellement
CAT-0060;Exploitation cinématographique  - Géographie de la programmation en 2019;Nombre de films exploités et en première exclusivité selon la nationalité et la recommandation Art et Essai des films et la zone d'implantation des cinémas (région, région cinéma, département, commune, unité urbaine);Audiovisuel;Film et cinéma;Administration centrale;Centre national du cinéma et de l'image animée (CNC);CNC;DESPRO;data-snum@culture.gouv.fr;;;;;https://www.cnc.fr/professionnels/etudes-et-rapports/statistiques/statistiques-par-secteur;En continu;;XLS;;France métropolitaine;;Ouvert;2021-11-15;Actif;France métropolitaine;Ouvrable
CAT-0062;Pratiques cinématographiques des Français;"Pratiques cinématographiques des Français
Pratiques suivies : réservation des places, trajet, choix du cinéma, fréquentation des cinémas, satisfaction par rapport au cinéma, prise d'information sur les films, intérêt pour le cinéma en relief, autres activités culturelles, intérêt pour internet et les réseaux sociaux, fête du cinéma, fréquentation du cinéma sur le lieu de vacances";Audiovisuel;Film et cinéma;Administration centrale;Centre national du cinéma et de l'image animée (CNC);CNC;DESPRO;data-snum@culture.gouv.fr;;;;;https://www.cnc.fr/professionnels/etudes-et-rapports/statistiques/statistiques-par-secteur;En continu;;XLS;;France métropolitaine;;Ouvert;2021-11-15;Actif;France métropolitaine;Ouvrable
CAT-0075;Marché de la vidéo physique et pratiques des consommateurs;Depuis 2004, ventes en volume et en valeur selon le type de programmes. Pratiques des consommateurs.;Audiovisuel;Vidéo;Administration centrale;Centre national du cinéma et de l'image animée (CNC);CNC;DESPRO;data-snum@culture.gouv.fr;;;;;https://www.cnc.fr/professionnels/etudes-et-rapports/statistiques/statistiques-par-secteur;En continu;;XLS;;France métropolitaine;;Ouvert;2021-11-15;Actif;France métropolitaine;Ouvrable
